country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name
"AUS",1,"AUS","Australia","Australia",1,"AUS","Australia","Australia"
"CCK",1,"AUS","Australia","Cocos (Keeling) Islands",1,"AUS","Australia","Cocos (Keeling) Islands"
"HMD",1,"AUS","Australia","Heard Island and McDonald Islands",1,"AUS","Australia","Heard Island and McDonald Islands"
"CXR",1,"AUS","Australia","Christmas Island",1,"AUS","Australia","Christmas Island"
"NFK",1,"AUS","Australia","Norfolk Island",1,"AUS","Australia","Norfolk Island"
"NZL",2,"NZL","New Zealand","New Zealand",2,"NZL","New Zealand","New Zealand"
"PCN",3,"XOC","Rest of Oceania","Pitcairn",3,"XOC","Rest of Oceania","Pitcairn"
"VUT",3,"XOC","Rest of Oceania","Vanuatu",3,"XOC","Rest of Oceania","Vanuatu"
"NRU",3,"XOC","Rest of Oceania","Nauru",3,"XOC","Rest of Oceania","Nauru"
"COK",3,"XOC","Rest of Oceania","Cook Islands",3,"XOC","Rest of Oceania","Cook Islands"
"PYF",3,"XOC","Rest of Oceania","French Polynesia",3,"XOC","Rest of Oceania","French Polynesia"
"WSM",3,"XOC","Rest of Oceania","Samoa",3,"XOC","Rest of Oceania","Samoa"
"NCL",3,"XOC","Rest of Oceania","New Caledonia",3,"XOC","Rest of Oceania","New Caledonia"
"WLF",3,"XOC","Rest of Oceania","Wallis and Futuna Islands",3,"XOC","Rest of Oceania","Wallis and Futuna Islands"
"ASM",3,"XOC","Rest of Oceania","American Samoa",3,"XOC","Rest of Oceania","American Samoa"
"FSM",3,"XOC","Rest of Oceania","Micronesia (Federated States of)",3,"XOC","Rest of Oceania","Micronesia, Federated States of"
"PNG",3,"XOC","Rest of Oceania","Papua New Guinea",3,"XOC","Rest of Oceania","Papua New Guinea"
"FJI",3,"XOC","Rest of Oceania","Fiji",3,"XOC","Rest of Oceania","Fiji"
"PLW",3,"XOC","Rest of Oceania","Palau",3,"XOC","Rest of Oceania","Palau"
"UMI",3,"XOC","Rest of Oceania","United States Minor Outlying Islands",3,"XOC","Rest of Oceania","United States Minor Outlying Islands"
"TKL",3,"XOC","Rest of Oceania","Tokelau",3,"XOC","Rest of Oceania","Tokelau"
"MHL",3,"XOC","Rest of Oceania","Marshall Islands",3,"XOC","Rest of Oceania","Marshall Islands"
"GUM",3,"XOC","Rest of Oceania","Guam",3,"XOC","Rest of Oceania","Guam"
"MNP",3,"XOC","Rest of Oceania","Northern Mariana Islands",3,"XOC","Rest of Oceania","Northern Mariana Islands"
"TUV",3,"XOC","Rest of Oceania","Tuvalu",3,"XOC","Rest of Oceania","Tuvalu"
"SLB",3,"XOC","Rest of Oceania","Solomon Islands",3,"XOC","Rest of Oceania","Solomon Islands"
"NIU",3,"XOC","Rest of Oceania","Niue",3,"XOC","Rest of Oceania","Niue"
"TON",3,"XOC","Rest of Oceania","Tonga",3,"XOC","Rest of Oceania","Tonga"
"KIR",3,"XOC","Rest of Oceania","Kiribati",3,"XOC","Rest of Oceania","Kiribati"
"CHN",4,"CHN","China","China",4,"CHN","China","China"
"HKG",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China"
"JPN",6,"JPN","Japan","Japan",6,"JPN","Japan","Japan"
"KOR",7,"KOR","Korea, Republic of","Korea, Republic of",7,"KOR","Korea, Republic of","Korea, Republic of"
